date_mutation,valeur_fonciere,code_postal,section,type_local,surface_relle_bati,nombre_pieces_principales,surface_terrain
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,36,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,39,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,60,3,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,2338
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/6/22,100394,33000,IH,Appartement,26,2,429
2015/9/24,88000,33000,IA,Appartement,24,1,
2016/3/15,157944,33000,PC,Appartement,39,2,
2016/4/22,205607,33000,PC,Appartement,57,3,
2016/4/22,300000,33000,DX,Maison,124,4,165
2016/6/29,310000,33000,DP,Appartement,100,3,
2016/7/28,140000,33000,DP,Appartement,48,2,
2017/6/23,183000,33000,MA,Appartement,48,2,
2017/7/10,425000,33000,PC,Maison,74,5,55
2017/7/28,1471400,33000,OY,Maison,200,6,482
2017/3/8,150000,33000,DP,Appartement,51,1,
2017/3/31,495000,33000,EU,Maison,82,5,194
2017/7/4,104000,33000,HI,Appartement,40,1,
2017/7/4,104000,33000,HI,Appartement,52,1,
2017/10/27,180000,33000,HL,Appartement,49,2,
2018/6/25,1635400,33000,OY,Maison,200,6,482
2018/7/2,323000,33000,LW,Maison,86,3,56
2018/7/30,323400,33000,OY,Maison,52,3,49
2018/10/29,240000,33000,KY,Appartement,36,1,51
2018/3/13,217000,33000,HL,Appartement,49,1,
2018/3/21,131500,33000,IA,Appartement,29,1,
2018/3/20,474900,33000,DP,Appartement,70,4,
2018/3/14,591500,33000,HA,Appartement,49,1,218
2018/3/14,591500,33000,HA,Appartement,90,3,218
2018/7/4,130000,33000,IA,Appartement,24,1,
2019/1/30,110000,33000,MA,Appartement,22,1,
2019/1/16,169000,33000,MA,Appartement,40,2,
2019/4/18,281880,33000,PC,Appartement,52,2,
2014/1/10,442500,33000,OX,Maison,96,4,166
2014/1/31,1105000,33000,KM,Appartement,190,3,
2014/6/30,643600,33000,LB,Maison,138,6,180
2014/7/3,111500,33000,PM,Appartement,45,2,
2014/9/18,106500,33000,PM,Appartement,45,2,
2014/2/7,140000,33000,DR,Appartement,45,2,
2014/2/28,1638994,33000,HM,Maison,385,10,767
2014/4/25,518950,33000,HL,Appartement,120,4,
2014/4/29,200087,33000,HE,Appartement,56,2,
2014/8/25,120000,33000,HL,Appartement,37,1,
2014/8/29,156500,33000,HL,Appartement,50,3,
2015/2/27,151000,33000,KX,Appartement,68,3,
2015/3/13,114000,33000,PM,Appartement,40,2,
2015/4/7,892900,33000,PO,Maison,235,5,128
2015/9/23,165000,33000,PM,Appartement,45,2,
2015/10/13,101000,33000,PM,Appartement,45,2,
2015/2/10,203400,33000,EW,Appartement,46,2,34
2015/7/9,140000,33000,EW,Appartement,44,3,
2015/8/4,110000,33000,HE,Appartement,33,1,
2016/11/21,900950,33000,PM,Appartement,150,4,
2016/5/18,108000,33000,DV,Appartement,35,2,
2016/8/1,64000,33000,DV,Appartement,38,2,
2017/4/26,144960,33000,PM,Appartement,45,2,
2017/5/12,297000,33000,LY,Maison,74,3,68
2017/9/1,651056,33000,KI,Maison,63,2,56
2017/11/8,194500,33000,KV,Appartement,76,3,
2017/11/20,255000,33000,KL,Appartement,66,3,
2017/3/17,110000,33000,ER,Appartement,30,1,
2017/4/18,129500,33000,EY,Appartement,30,1,
2017/6/16,90000,33000,EY,Appartement,22,1,
2017/6/20,325000,33000,IN,Maison,70,4,187
2017/9/1,275000,33000,IA,Maison,49,2,54
2017/10/27,345000,33000,IW,Appartement,38,3,384
2017/10/27,345000,33000,IW,Appartement,41,3,384
2018/4/16,794950,33000,OZ,Maison,184,5,184
2018/5/4,330000,33000,KJ,Appartement,67,4,
2018/10/1,521500,33000,KY,Appartement,98,4,
2018/10/2,192000,33000,PM,Appartement,45,2,
2019/4/30,138550,33000,KX,Appartement,20,1,
2019/4/2,350000,33000,IC,Maison,84,3,180
2019/5/2,160000,33000,DV,Appartement,35,2,
2019/4/18,380000,33000,HB,Maison,95,6,
2019/5/13,350000,33000,DV,Appartement,60,2,
2014/1/15,160000,33000,OP,Appartement,68,3,
2014/10/14,104000,33000,OS,Maison,58,2,273
2015/7/6,124000,33000,DR,Appartement,30,2,
2015/7/29,139000,33000,HB,Maison,40,2,
2015/11/5,460000,33000,EX,Maison,80,5,195
2015/11/16,170000,33000,HD,Appartement,54,3,
